Tattoo	Disease with this Risk Factor	Hepatitis B	.
Tattoo (Canonical Version) #47	is-a	Musical Recording	.
Tattoo (Canonical Version) #47	is-a	Topic	.
Tattoo (Canonical Version) #62	Length	"3625.773"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #62	Recorded by	The Rainmakers	.
Tattoo (Canonical Version) #62	Release	Skin (Musical Release) #21	.
Tattoo (Canonical Version) #62	is-a	Canonical Version	.
Tattoo (Canonical Version) #62	is-a	Musical Recording	.
Tattoo (Canonical Version) #62	is-a	Topic	.
Tattoo (Canonical Version) #63	Length	"128.08"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #63	Recorded by	Time Again	.
Tattoo (Canonical Version) #63	Release	Time Again (Musical Release) #6	.
Tattoo (Canonical Version) #63	is-a	Canonical Version	.
Tattoo (Canonical Version) #63	is-a	Musical Recording	.
Tattoo (Canonical Version) #63	is-a	Topic	.
Tattoo (Canonical Version) #65	Length	"288.066"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #65	Recorded by	Laurie Lewis	.
Tattoo (Canonical Version) #65	Release	Seeing Things (Consumer product) #33	.
Tattoo (Canonical Version) #65	is-a	Canonical Version	.
Tattoo (Canonical Version) #65	is-a	Musical Recording	.
Tattoo (Canonical Version) #65	is-a	Topic	.
Tattoo (Canonical Version) #69	Length	"279.96"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #69	Recorded by	The So and So's	.
Tattoo (Canonical Version) #69	Release	Give Me Drama (Musical Release)	.
Tattoo (Canonical Version) #69	is-a	Canonical Version	.
Tattoo (Canonical Version) #69	is-a	Musical Recording	.
Tattoo (Canonical Version) #69	is-a	Topic	.
Tattoo (Canonical Version) #70	Length	"164.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #70	Recorded by	The Pop Mafia	.
Tattoo (Canonical Version) #70	Release	Deluions of Grand Avenue (Musical Release)	.
Tattoo (Canonical Version) #70	is-a	Canonical Version	.
Tattoo (Canonical Version) #70	is-a	Musical Recording	.
Tattoo (Canonical Version) #70	is-a	Topic	.
Tattoo (Canonical Version) #73	Length	"190.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #73	Recorded by	The Jigsaw Seen	.
Tattoo (Canonical Version) #73	is-a	Canonical Version	.
Tattoo (Canonical Version) #73	is-a	Musical Recording	.
Tattoo (Canonical Version) #73	is-a	Topic	.
Tattoo (Canonical Version) #78	Recorded by	Hard Candy (Musical Group)	.
