Mask (Canonical Version) #98	is-a	Musical Recording	.
Mask (Canonical Version) #98	is-a	Topic	.
Mask (Canonical Version) #99	Length	"252.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #99	Recorded by	A Balance Between (Musical Group)	.
Mask (Canonical Version) #99	is-a	Canonical Version	.
Mask (Canonical Version) #99	is-a	Musical Recording	.
Mask (Canonical Version) #99	is-a	Topic	.
Mask (Comic Book Character)	Appears In These Fictional Universe	DC Universe	.
Mask (Comic Book Character)	Character Created By	H. G. Peter	.
Mask (Comic Book Character)	Character Created By	William Moulton Marston	.
Mask (Comic Book Character)	Gender	Male	.
Mask (Comic Book Character)	is-a	Comic Book Character	.
Mask (Comic Book Character)	is-a	Fictional Character	.
Mask (Comic Book Character)	is-a	Topic	.
Mask (Compact Disc Musical Release) #37	Catalog Number	"CD LEM 53"	.
Mask (Compact Disc Musical Release) #37	Credited A	"Roger Glover"	.
Mask (Compact Disc Musical Release) #37	Format	Compact disc	.
Mask (Compact Disc Musical Release) #37	Label	Lemon Recordings	.
Mask (Compact Disc Musical Release) #37	Region	United Kingdom	.
Mask (Compact Disc Musical Release) #37	Release Date	"2005-02"^^<http://www.w3.org/2001/XMLSchema#gYearMonth>	.
Mask (Compact Disc Musical Release) #37	Release of	Mask (Hard rock Album)	.
Mask (Compact Disc Musical Release) #37	is-a	Creative Work	.
Mask (Compact Disc Musical Release) #37	is-a	Musical Release	.
Mask (Compact Disc Musical Release) #37	is-a	Topic	.
Mask (Compact Disc Musical Release) #39	Catalog Number	"GRR 029"	.
Mask (Compact Disc Musical Release) #39	Credited A	"Soman"	.
Mask (Compact Disc Musical Release) #39	Format	Compact disc	.
Mask (Compact Disc Musical Release) #39	Label	Gravitator Records	.
Mask (Compact Disc Musical Release) #39	Region	Russia	.
Mask (Compact Disc Musical Release) #39	Release Date	"2007"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Compact Disc Musical Release) #39	Release of	Mask (Musical Album) #115	.
Mask (Compact Disc Musical Release) #39	is-a	Creative Work	.
Mask (Compact Disc Musical Release) #39	is-a	Musical Release	.
Mask (Compact Disc Musical Release) #39	is-a	Topic	.
Mask (Composition) #19	Composer	Daniel Ash	.
Mask (Composition) #19	Composer	Kevin Haskins	.
Mask (Composition) #19	Composer	Peter Murphy	.
Mask (Composition) #19	ISWC	"T-071.177.685-0"	.
Mask (Composition) #19	Kind of composition	Song	.
Mask (Composition) #19	Language	English Language	.
Mask (Composition) #21	Composer	m/0nhb1cb	.
Mask (Composition) #51	Lyricist	野宮あゆみ	.
Mask (Composition) #52	Composer	Henk Hofstede	.
Mask (Composition) #52	Lyricist	Henk Hofstede	.
Mask (Composition) #90	Composer	m/0gdt676	.
Mask (Consumer product) #102	Catalog Number	"BBL 29 CD"	.
Mask (Consumer product) #102	Credited A	"Bauhaus"	.
Mask (Consumer product) #102	Format	Compact disc	.
Mask (Consumer product) #102	GTIN	"00607618002923"	.
Mask (Consumer product) #102	GTIN	"05012093002927"	.
Mask (Consumer product) #102	Producer	Bauhaus (Alternative Artist)	.
Mask (Consumer product) #102	Region	United Kingdom	.
Mask (Consumer product) #102	Release Date	"1988"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Consumer product) #102	Release of	Mask (Gothic rock Album)	.
Mask (Consumer product) #102	Running Time	"3272.667"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Consumer product) #102	is-a	Consumer product	.
Mask (Consumer product) #102	is-a	Creative Work	.
Mask (Consumer product) #102	is-a	Musical Release	.
Mask (Consumer product) #102	is-a	Topic	.
Mask (Consumer product) #110	Catalog Number	"BAUBOX 2"	.
Mask (Consumer product) #110	Credited A	"Bauhaus"	.
Mask (Consumer product) #110	Format	Compact disc	.
Mask (Consumer product) #110	GTIN	"00607618206222"	.
Mask (Consumer product) #110	Release Date	"2009-09-29"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask (Consumer product) #110	Release of	Mask (Gothic rock Album)	.
Mask (Consumer product) #110	is-a	Consumer product	.
Mask (Consumer product) #110	is-a	Creative Work	.
Mask (Consumer product) #110	is-a	Musical Release	.
Mask (Consumer product) #110	is-a	Topic	.
Mask (Consumer product) #113	Catalog Number	"COP CD102"	.
Mask (Consumer product) #113	Credited A	"Soman"	.
Mask (Consumer product) #113	Format	Compact disc	.
Mask (Consumer product) #113	GTIN	"00703513010220"	.
Mask (Consumer product) #113	Label	COP International (Record label) #1	.
Mask (Consumer product) #113	Region	United States of America	.
Mask (Consumer product) #113	Release Date	"2007-07-10"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask (Consumer product) #113	Release of	Mask (Musical Album) #115	.
Mask (Consumer product) #113	is-a	Consumer product	.
Mask (Consumer product) #113	is-a	Creative Work	.
Mask (Consumer product) #113	is-a	Musical Release	.
Mask (Consumer product) #113	is-a	Topic	.
Mask (Consumer product) #116	Catalog Number	"TPCD 1.611.001"	.
Mask (Consumer product) #116	Credited A	"Guru Guru"	.
Mask (Consumer product) #116	Format	Compact disc	.
Mask (Consumer product) #116	GTIN	"04802498780244"	.
Mask (Consumer product) #116	Region	Germany	.
Mask (Consumer product) #116	Release Date	"1996"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Consumer product) #116	Release of	Mask (Musical Album) #133	.
Mask (Consumer product) #116	is-a	Consumer product	.
Mask (Consumer product) #116	is-a	Creative Work	.
Mask (Consumer product) #116	is-a	Musical Release	.
Mask (Consumer product) #116	is-a	Topic	.
Mask (Consumer product) #12	Catalog Number	"92576-2"	.
